"domain,""date"",""plUrls"",""views"",""clicks"",""ctr"",""revenue"",""epc"",""rpm"",""percentFinalised"",""percentEstimate"",""percentForecast"",""Status"""
"invisilinks.com,""16-May-2015"",""20.0"",""11"",""10"",""90.9"",""0.01"",""0.0"",""0.9"",""100.0"",""0.0"",""0.0"",""Final"""
"iphonetrang.com,""16-May-2015"",""13.0"",""12"",""5"",""41.66"",""0.01"",""0.0"",""0.83"",""100.0"",""0.0"",""0.0"",""Final"""
"jailbreakfire.com,""16-May-2015"",""20.0"",""14"",""6"",""42.85"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"jailbreakkindle.com,""16-May-2015"",""315.0"",""148"",""139"",""93.91"",""6.32"",""0.04"",""42.7"",""100.0"",""0.0"",""0.0"",""Final"""
"jewishfertilityawareness.com,""16-May-2015"",""11.0"",""18"",""11"",""61.11"",""0.04"",""0.0"",""2.22"",""100.0"",""0.0"",""0.0"",""Final"""
"juicycouturewatches.net,""16-May-2015"",""11.0"",""13"",""2"",""15.38"",""0.03"",""0.01"",""2.3"",""100.0"",""0.0"",""0.0"",""Final"""
"kennerflowers.com,""16-May-2015"",""20.0"",""16"",""11"",""68.75"",""0.06"",""0.0"",""3.75"",""100.0"",""0.0"",""0.0"",""Final"""
"kindlejailbreak.com,""16-May-2015"",""307.0"",""301"",""247"",""82.05"",""2.35"",""0.0"",""7.8"",""100.0"",""0.0"",""0.0"",""Final"""
"ladiestennisclothing.com,""16-May-2015"",""264.0"",""266"",""159"",""59.77"",""3.94"",""0.02"",""14.81"",""100.0"",""0.0"",""0.0"",""Final"""
"lasertargeted.com,""16-May-2015"",""29.0"",""5"",""5"",""100.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"lasvegasthieves.com,""16-May-2015"",""26.0"",""14"",""9"",""64.28"",""0.07"",""0.0"",""5.0"",""100.0"",""0.0"",""0.0"",""Final"""
"liftingexercise.com,""16-May-2015"",""14.0"",""11"",""7"",""63.63"",""0.01"",""0.0"",""0.9"",""100.0"",""0.0"",""0.0"",""Final"""
